[2026-07-01 23:15:31] Epoch 1/80 | Train Loss: 0.09176 EPE: 24.990px | Val Loss: 0.08963 EPE: 25.404px CrackEPE: 25.504px | LR: 6.80e-07 | Time: 512.5s
[2026-07-01 23:23:41] Epoch 2/80 | Train Loss: 0.09144 EPE: 24.868px | Val Loss: 0.08941 EPE: 25.745px CrackEPE: 25.855px | LR: 1.26e-06 | Time: 489.3s
[2026-07-01 23:31:50] Epoch 3/80 | Train Loss: 0.09130 EPE: 24.859px | Val Loss: 0.08950 EPE: 25.896px CrackEPE: 26.016px | LR: 1.84e-06 | Time: 489.5s
[2026-07-01 23:40:00] Epoch 4/80 | Train Loss: 0.09141 EPE: 24.901px | Val Loss: 0.08966 EPE: 26.000px CrackEPE: 26.093px | LR: 2.42e-06 | Time: 489.7s
[2026-07-01 23:48:10] Epoch 5/80 | Train Loss: 0.09131 EPE: 24.908px | Val Loss: 0.08983 EPE: 26.113px CrackEPE: 26.171px | LR: 3.00e-06 | Time: 489.9s
[2026-07-01 23:56:20] Epoch 6/80 | Train Loss: 0.09105 EPE: 24.853px | Val Loss: 0.08989 EPE: 26.172px CrackEPE: 26.208px | LR: 3.00e-06 | Time: 489.7s
[2026-07-02 00:04:30] Epoch 7/80 | Train Loss: 0.09099 EPE: 24.910px | Val Loss: 0.08982 EPE: 26.173px CrackEPE: 26.201px | LR: 2.99e-06 | Time: 489.9s
[2026-07-02 00:12:40] Epoch 8/80 | Train Loss: 0.09086 EPE: 24.745px | Val Loss: 0.08975 EPE: 26.175px CrackEPE: 26.187px | LR: 2.95e-06 | Time: 490.3s
[2026-07-02 00:20:50] Epoch 9/80 | Train Loss: 0.09098 EPE: 24.747px | Val Loss: 0.08987 EPE: 26.231px CrackEPE: 26.217px | LR: 2.90e-06 | Time: 490.2s
[2026-07-02 00:29:00] Epoch 10/80 | Train Loss: 0.09061 EPE: 24.706px | Val Loss: 0.08967 EPE: 26.218px CrackEPE: 26.173px | LR: 2.82e-06 | Time: 490.2s
[2026-07-02 00:37:11] Epoch 11/80 | Train Loss: 0.09052 EPE: 24.741px | Val Loss: 0.08974 EPE: 26.278px CrackEPE: 26.212px | LR: 2.72e-06 | Time: 490.7s
[2026-07-02 00:45:22] Epoch 12/80 | Train Loss: 0.09058 EPE: 24.846px | Val Loss: 0.08960 EPE: 26.272px CrackEPE: 26.167px | LR: 2.61e-06 | Time: 490.6s
[2026-07-02 00:53:32] Epoch 13/80 | Train Loss: 0.09051 EPE: 24.811px | Val Loss: 0.08944 EPE: 26.251px CrackEPE: 26.126px | LR: 2.47e-06 | Time: 490.6s
[2026-07-02 01:01:43] Epoch 14/80 | Train Loss: 0.09011 EPE: 24.715px | Val Loss: 0.08961 EPE: 26.320px CrackEPE: 26.195px | LR: 2.33e-06 | Time: 490.6s
[2026-07-02 01:09:53] Epoch 15/80 | Train Loss: 0.09014 EPE: 24.693px | Val Loss: 0.08956 EPE: 26.329px CrackEPE: 26.160px | LR: 2.17e-06 | Time: 490.4s
[2026-07-02 01:18:04] Epoch 16/80 | Train Loss: 0.09052 EPE: 24.760px | Val Loss: 0.08946 EPE: 26.339px CrackEPE: 26.154px | LR: 2.00e-06 | Time: 490.1s
[2026-07-02 01:26:14] Epoch 17/80 | Train Loss: 0.09032 EPE: 24.762px | Val Loss: 0.08929 EPE: 26.291px CrackEPE: 26.074px | LR: 1.82e-06 | Time: 490.5s
[2026-07-02 01:34:25] Epoch 18/80 | Train Loss: 0.08994 EPE: 24.676px | Val Loss: 0.08911 EPE: 26.280px CrackEPE: 25.998px | LR: 1.64e-06 | Time: 490.3s
